Identifier,Quarter,Year,Last_Day,AR,INV,OCA,PREPAID,AP,OCL,TOTAL ASSETS,RETAINED EARNINGS,TOTAL LIABILITIES,MARKET CAP,EBIT
NYSE:ED,CQ1,2018,43190,1722,301,241,600,1236,820,48900,10442,33239,24192.34764,712
NYSE:ED,CQ2,2018,43281,1479,318,268,214,1130,766,49064,10407,33409,24230.76166,383
NYSE:ED,CQ3,2018,43373,1700,338,162,665,1173,820,49544,10619,33646,23702.93673,783
NYSE:ED,CQ4,2018,43465,1781,358,309,187,1187,939,53920,10728,37081,23815.7608,482
NYSE:ED,CQ1,2019,43555,1809,327,288,635,1010,855,55066,10915,37565,27230.55326,765
NYSE:ED,CQ2,2019,43646,1776,344,356,222,994,895,55602,10825,37737,29188.83123,404
NYSE:ED,CQ3,2019,43738,1850,358,409,707,1082,888,55940,11051,37806,31377.66324,813
NYSE:ED,CQ4,2019,43830,1911,352,564,260,1164,1011,58079,11100,39866,30074.97901,645
NYSE:ED,CQ1,2020,43921,1869,326,488,739,1015,919,59159,11220,40692,26034.48682,739
NYSE:ED,CQ2,2020,44012,2030,336,548,291,1018,934,59081,11154,40640,24031.95988,385
NYSE:ED,CQ3,2020,44104,2149,353,535,777,1279,1016,59595,11391,40884,26023.83509,815
NYSE:ED,CQ4,2020,44196,2437,356,661,271,1475,1136,62895,11178,43830,24724.70222,582
NYSE:ED,CQ1,2021,44286,2586,339,544,772,1208,1057,62299,11332,43017,25612.95332,827
NYSE:ED,CQ2,2021,44377,2548,360,621,255,1217,1108,62919,11231,42866,25322.30964,348
NYSE:DTE,CQ1,2018,44469,1709,597,371,0,920,748,33841,5848,23478,21643.9861,497
NYSE:DTE,CQ2,2018,44561,1690,675,320,0,1059,848,34330,5760,24012,23158.15881,321
NYSE:DTE,CQ3,2018,44651,1690,767,479,0,1160,736,35292,6093,24602,23169.78245,430
NYSE:DTE,CQ4,2018,44742,1789,811,481,0,1329,874,36288,6112,25571,23169.78245,341
NYSE:DTE,CQ1,2019,44834,1683,604,425,0,981,829,36434,6364,25414,23169.78245,533
NYSE:DTE,CQ2,2019,44926,1436,765,370,0,1051,927,36851,6198,26282,23169.78245,303
NYSE:DTE,CQ3,2019,45016,1453,806,233,153,1033,715,38345,6516,27441,23169.78245,436
NYSE:DTE,CQ4,2019,45107,1642,759,347,0,1076,1226,42268,6587,30432,23169.78245,429
NYSE:DTE,CQ1,2020,45199,1482,707,525,0,1028,1225,43232,6732,31244,23169.78245,527
NYSE:DTE,CQ2,2020,45291,1375,785,387,0,1025,1396,43739,6618,31847,23169.78245,0
NYSE:DTE,CQ3,2020,45382,1419,815,502,0,964,799,44439,7092,31951,23169.78245,472
NYSE:DTE,CQ4,2020,45473,1665,716,476,0,1029,964,45496,7156,32907,23169.78245,453
NYSE:DTE,CQ1,2021,45565,1553,664,459,0,955,917,46699,7342,33985,23169.78245,532
NYSE:DTE,CQ2,2021,45657,1550,766,481,0,1173,1248,49636,7149,37097,23169.78245,0
NYSE:D,CQ1,2018,45747,1615,1367,958,0,702,2302,77354,8924,57312,64930.35707,881
NYSE:D,CQ2,2018,45838,1510,1429,1348,0,660,2563,78075,8820,58039,64930.35707,862
NYSE:D,CQ3,2018,45930,1539,1455,2208,0,587,2579,79082,9128,58656,64930.35707,1137
NYSE:D,CQ4,2018,46022,1749,1418,1116,265,914,1804,77914,9219,55866,64930.35707,1119
NYSE:D,CQ1,2019,46112,2236,1657,1455,0,920,2265,100054,7806,72455,64930.35707,318
NYSE:D,CQ2,2019,46203,1908,1724,1525,0,787,2480,100822,7124,72441,64930.35707,0
NYSE:D,CQ3,2019,46295,1972,1800,1416,338,791,2633,102359,7336,72402,64930.35707,1184
NYSE:D,CQ4,2019,46387,2085,1616,1624,296,1023,4223,103823,7576,69790,64930.35707,1318
NYSE:D,CQ1,2020,46477,2177,1677,1231,0,842,2661,104126,6455,71374,64930.35707,1206
NYSE:D,CQ2,2020,46568,2040,1735,852,589,797,4319,103728,4480,72844,64930.35707,934
NYSE:D,CQ3,2020,46660,2002,1565,15043,632,738,10423,104535,4035,76469,64930.35707,1047
NYSE:D,CQ4,2020,46752,2295,1550,2348,309,944,5626,95905,4189,69444,64930.35707,750
NYSE:D,CQ1,2021,46843,1841,1476,2629,0,848,4577,96703,4673,69665,64930.35707,1257
NYSE:D,CQ2,2021,46934,1728,1538,2720,450,774,4781,97963,4434,71079,64930.35707,786
NYSE:SRE,CQ1,2018,47026,1391,285,1007,0,1057,2251,60485,10260,42180,43749.23229,650
NYSE:SRE,CQ2,2018,47118,1163,288,2824,0,1064,2397,59907,9455,41543,43749.23229,391
NYSE:SRE,CQ3,2018,47208,1295,345,2682,0,1199,2568,60605,9485,41494,43749.23229,453
NYSE:SRE,CQ4,2018,47299,1252,258,1651,0,1160,2252,60638,10104,41390,43749.23229,537
NYSE:SRE,CQ1,2019,47391,1272,189,1282,0,989,2627,61618,10337,42148,43749.23229,682
NYSE:SRE,CQ2,2019,47483,924,214,1030,0,1018,2249,62727,10425,43293,43749.23229,399
NYSE:SRE,CQ3,2019,47573,1016,270,1721,0,959,2907,64585,10966,44034,43749.23229,745
NYSE:SRE,CQ4,2019,47664,1293,277,1094,0,1234,2340,65665,11130,43860,43749.23229,669
NYSE:SRE,CQ1,2020,47756,1286,217,1170,0,1038,3025,68293,11577,46178,43749.23229,1030
NYSE:SRE,CQ2,2020,47848,1113,267,830,0,1302,2488,68385,13511,42999,43749.23229,630
NYSE:SRE,CQ3,2020,47938,1113,309,881,0,1129,2410,67222,13560,42366,43749.23229,388
NYSE:SRE,CQ4,2020,48029,1598,308,1129,0,1359,2531,66623,13673,41689,43749.23229,682
NYSE:SRE,CQ1,2021,48121,1621,274,1109,0,1354,2904,67821,14214,42213,43749.23229,1002
NYSE:SRE,CQ2,2021,48213,1452,339,1147,0,1291,2858,68608,14291,42916,43749.23229,437
NasdaqGS:XEL,CQ1,2018,48304,1473,492,439,251,1027,1466,43159,4510,31598,37033.94544,475
